iter	Passed	Remaining
421	4585	6280
422	4600	6275
423	4609	6261
424	4622	6253
425	4635	6246
426	4645	6234
427	4655	6221
428	4663	6206
429	4670	6191
430	4678	6176
431	4683	6158
432	4692	6144
433	4703	6133
434	4714	6122
435	4722	6109
436	4733	6097
437	4741	6084
438	4749	6069
439	4758	6055
440	4768	6044
441	4779	6034
442	478437	476443	479438	477444	4808	5997
445	4818	5985
446	4826	5970
447	4837	5960
448	484443	481449	485444	482450	485445	4839	6010
446	4847	5996
447	485453	488448	486454	489449	487455	491450	488456	491451	489457	492452	4909	5928
453	4926	5925
454	4937	5914
455	4948	5903
456	4957	5890
457	4972	5884
458	4987	5878
459	4998	5867
460	5011	5859
461	5022	5848
462	5034	5838
463	5042	5824
464	5051	5811
465	5064	5803
466	5074	5792
467	5090	5786
468	5105	5780
469	5113	5766
470	5122	5753
471	5135	5744
472	5146	5734
473	5159	5725
474	5171	5716
475	5182	5705
476	5195	5696
477	5205	5685
478	5217	5674
479	5236	5672
480	5245	5659
481	5265	5659
482	5278	5650
483	5290	5640
484	5302	5630
485	5316	5623
486	5326	5610
487	5333	5595
488	5340	5580
489	5351	5569
490	5357	5554
491	5362	5537
492	5368	5521
493	537499	540494	538500	541495	539501	542496	540502	544497	541503	545498	542504	546499	544505	547500	544506	548501	545507	5493	5320
508	5503	5308
509	5515	5299
510	5522	5284
511	5529	5269
512	553507	551513	554508	551514	5558	5234
515	5568	5223
516	5584	5217
517	5597	5208
518	5605	5195
519	5614	5182
520	5624	5170
521	5633	5158
522	5641	5144
523	5649	5132
524	5658	5119
525	5670	5109
526	5679	5097
527	5691	5087
528	5702	5077
529	5711	5065
530	5718	5050
531	5730	5040
532	5741	5030
533	575528	572534	575529	573535	576530	573536	577531	574537	5784	4967
538	5795	4956
539	5801	4942
540	5813	4932
541	5822	4920
542	5832	4909
543	5843	4898
544	5850	4884
545	5859	4871
546	5870	4861
547	5883	4852
548	5900	4846
549	5907	4833
550	5917	4821
551	59548	5914552	59549	5924553	59550	5933554	59551	5943555	5961	4760
556	5971	4749
557	5981	4738
558	59555	5982559	59556	5990560	60557	6000561	60558	6013562	60559	6026563	60560	6035564	60561	6047565	60562	6056566	60563	6067567	60564	6075568	60565	6089569	61566	6101570	61567	6108571	615566	610572	613567	611573	6144	4560
574	615569	612575	6160	4534
576	6169	4522
577	617572	614578	618573	615579	6192	4484
580	61577	6188581	62578	6196582	6223	4451
583	6233	4440
584	6245	4430
585	6254	4418
586	6262	4406
587	6270	4393
588	6282	4384
589	6293	4373
590	6302	4361
591	6318	4354
592	6328	4343
593	6333	4328
594	6345	4319
595	6352	4306
596	6367	4298
597	6379	4288
598	6387	4276
599	6397	4264
600	6402	4250
601	6412	4239
602	6422	4228
603	6429	4215
604	64601	6429605	64602	6440606	64603	6449607	6471	4172
608	6479	4159
609	64606	6476610	6499	4137
611	6508	4126
612	6518	4115
613	65610	6519614	65611	6529615	65612	6534616	65613	6546617	65614	6555618	65615	6564619	65616	6576620	65617	6587621	66618	6598	4061
619	6607	4049
620	6614624	66621	6622625	66622	6628626	66623	6638627	66624	6645628	6666	3932
629	6679	3922
630	6690	3912
631	6699	3900
632	6708	3889
633	6718	3878
634	6727	3867
635	6738	3856
636	6746	3844
637	6756	3833
638	6764	3821
639	6773	3810
640	6784	3799
641	67638	6778642	68639	6788643	68640	6799644	68641	6810645	68642	6826646	68643	6841647	68644	6851648	68645	6861649	68646	6869650	68647	6883	3739
648	6888652	69649	6898653	69650	6910654	69651	6922	3694
652	6927656	69653	6936657	69654	6949658	69655	6965	3652
656	6976	3642
657	6987	3631
658	6994662	70659	7004663	70660	7013	3596
661	7024	3586
662	7032	3574
663	7040	3562
664	7050	3551
665	7059	3540
666	7071	3530
667	7087	3522
668	7100	3513
669	7112	3503
670	7122	3492
671	7134	3482
672	7156	3477
673	7166	3466
674	7178	3456
675	7187	3445
676	7196	3433
677	7208	3423
678	7218	3412
679	7229	3402
680	7238	3390
681	7256	3383
682	7268	3373
683	7277	3362
684	7293	3354
685	7306	3344
686	7323	3336
687	7336	3327
688	7346	3315
689	7356	3305
690	7370	3295
691	7374	3282
692	7378	3268
693	7382	3254
694	7386	3241
695	7390	3227
696	7394	3214
697	7398	3200
698	7401	3187
699	7405703	7422	3120
704	7431	3109
705	7444	3100
706	7456	3089
707	7470	3080
708	7481	3070
709	7491	3060
710	7498	3047
711	7515	3039
712	7524	3028
713	7540	3020
714	7561	3014
715	7570	3002
716	7578	2991
717	7584	2978
718	7593	2967
719	7598	2954
720	7605	2943
721	7616	2932
722	7626	2921
723	7631	2909
724	7642	2898
725	7650	2887
726	7658	2876
727	7669	2865
728	7676	2853
729	7685	2842
730	7690	2830
731	7699	2818
732	770727	768733	771728	768734	772729	769735	773730	770736	7743	2763
737	7754	2752
738	7763	2741
739	7773	2731
740	7784	2720
741	7790	2708
742	7795	2696
743	7804	2685
744	7813	2674
745	7820	2662
746	7828	2651
747	7836	2640
748	784743	781749	7851	2617
750	7860	2606
751	7872	2596
752	788747	785753	7890	2574
754	7899	2563
755	7906	2551
756	7915	2541
757	7926	2530
758	7938	2520
759	7945	2509
760	7954	2498
761	796756	793762	7973	2476
763	798758	795764	799759	796765	799760	796766	800761	798767	801762	798768	8024	2410
769	8033	2399
770	8042	2388
771	8055	2379
772	8065	2368
773	8073	2357
774	8084	2347
775	8099	2337
776	8105	2326
777	811772	808778	812773	809779	812774	810780	8137	2281
781	814776	811782	815777	812783	816778	813784	817779	814785	8185	2228
786	8190	2216
787	8200	2206
788	8212	2196
789	8219	2184
790	8230	2174
791	8245	2165
792	8256	2155
793	8265	2144
794	8277	2134
795	8285	2123
796	8294	2112
797	8301	2101
798	8311	2090
799	8322	2080
800	8331	2069
801	8341	2059
802	8352	2049
803	8361	2038
804	8369	2027
805	8378	2016
806	8388	2006
807	8402	1996
808	8414	1986
809	8422	1975
810	8428	1964
811	8435	1953
812	8443	1942
813	8454	1931
814	8465	1921
815	8476	1911
816	8486	1900
817	8497	1890
818	8508	1880
819	8519	1870
820	8527	1859
821	8539	1849
822	8551	1839
823	8566	1829
824	8578	1819
825	8588	1809
826	8598	1798
827	8604	1787
828	8615	1777
829	8631	1767
830	8642	1757
831	8650	1746
832	8657	1735
833	8670	1725
834	8683	1715
835	8692	1705
836	8703	1694
837	8716	1685
838	8727	1674
839	8739	1664
840	8745	1653
841	8757	1643
842	8768	1633
843	8781	1623
844	8788	1612
845	8798	1601
846	8808	1591
847	8818	1580
848	8827	1569
849	8834	1558
850	8847	1549
851	8856	1538
852	8870	1528
853	8886	1519
854	8897	1508
855	8910	1498
856	8920	1488
857	8931	1478
858	8943	1467
859	8955	1457
860	8962	1446
861	8971	1436
862	8976	1425
863	8987	1414
864	9000	1404
865	9006	1393
866	9016	1383
867	9026	1372
868	9049	1364
869	9061	1353
870	9070	1343
871	9079	1332
872	9088	1322
873	9096	1311
874	9103	1300
875	9109	1289
876	9116	1278
877	9130	1268
878	9146	1259
879	9152	1248
880	9159	1237
881	9166	1226
882	9176	1215
883	9185	1205
884	9192	1194
885	9199	1183
886	9208	1173
887	9216	1162
888	9224	1151
889	9233	1141
890	9240	1130
891	9247	1119
892	9255	1109
893	9263	1098
894	9273	1087
895	9281	1077
896	9287	1066
897	9298	1056
898	9304	1045
899	9313	1034
900	9319	1024
901	9326	1013
902	9334	1002
903	9339	991
904	9348	981
905	9356	970
906	9363	960
907	9371	949
908	9378	938
909	9386	928
910	9401	918
911	9411	908
912	9420	897
913	9431	887
914	9438	876
915	9447	866
916	9457	856
917	9466	845
918	9479	835
919	9493	825
920	9505	815
921	9517	805
922	9526	794
923	9537	784
924	9548	774
925	9561	764
926	9571	753
927	9587	743
928	9597	733
929	9607	723
930	9629	713
931	9664	705
932	9675	694
933	9683	684
934	9699	674
935	9712	664
936	9720	653
937	9729	643
938	9736	632
939	9745	622
940	9753	611
941	9757	600
942	9763	590
943	9769	579
944	9774	568
945	9779	558
946	9784	547
947	9788	536
948	9792	526
949	9795	515
950	9800	504
951	9804	494
952	9808	483
953	9812	473
954	9816	462
955	9821	452
956	9848	442
957	9856	432
958	9859	421
959	9863	410
960	9867	400
961	9871	389
962	9876	379
963	9881	369
964	9885	358
965	9888	348
966	9892	337
967	9896	327
968	9899	316
969	9902	306
970	9906	295
971	9909	285
972	9912	275
973	9916	264
974	9919	254
975	9922	243
976	9926	233
977	9929	223
978	9932	213
979	9935	202
980	9939	192
981	9942	182
982	9945	171
983	9948	161
984	9951	151
985	9955	141
986	9958	131
987	9961	120
988	9964	110
989	9968	100
990	9971	90
991	9975	80
992	9978	70
993	9981	60
994	9984	50
995	9987	40
996	9990	30
997	9993	20
998	9996	10
999	9998	0
995	9935	39
996	9938	29
997	9941	19
998	9944	9
999	9947	0
36	9
999	9841	0
